,message_body,abusive,asking_exchange,normal,offline_sell,possible_fraud,sharing_contact_details
488,COUNTER OFFER MADE : ? 1500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
681,Hi,0,0,1,0,0,0
6028,If you are interested kindly send your WhatsApp number for fast reply,0,0,0,0,0,1
2346,"Yes, It's available.",0,0,1,0,0,0
6005,It's in good condition.,0,0,1,0,0,0
3847,OFFER MADE : ? 8500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1653,May I get this at 1000,0,0,1,0,0,0
4791,Offer Accepted: 3000| Please access the mobile site through your email to complete this transaction. | http%3A%2F%2Fwww.quikr.com%2FescrowBuyer%3FofferId%3D100027502787%26pass%3D25829bb207bf0f0428a9e85415d1252e%26channel%3DCHAT,0,0,1,0,0,0
4796,Yes&nbsp;,0,0,1,0,0,0
1691,If u dont want earphones thats fine,0,0,1,0,0,0
6226,OFFER MADE : ₹ 8000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2090,???,0,0,1,0,0,0
2488,OFFER MADE : ? 4000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2622,OFFER MADE : ? 4100| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6064,Is it available?,0,0,1,0,0,0
3374,Is the price negotiable?,0,0,1,0,0,0
7074,Please share some more pictures.,0,0,1,0,0,0
1623,OFFER MADE : ? 2500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1944,No send karo u da,0,0,1,0,0,0
7694,I am in Bangalore do you accept payments via quickr,0,0,1,0,0,0
7011,I'm ask,0,0,1,0,0,0
3851,Is it available?,0,0,1,0,0,0
495,Hello,0,0,1,0,0,0
7652,Is it available?,0,0,1,0,0,0
6737,Is the price negotiable?,0,0,1,0,0,0
4812,Accepted the offer waiting for the payment and pickup,0,0,1,0,0,0
3957,Have you checked all pictures I have shared,0,0,1,0,0,0
7158,exchange our  bills for the product,0,1,0,0,0,0
3852,OFFER MADE : ? 8500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
50,Ph number,0,0,0,0,0,1
6357,"Mujhe 4,500 main bhi mil raha hai",0,0,1,0,0,0
7533,Offer Made: 12000| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
23,Your address &mobile no send,0,0,0,0,0,1
6315,Bill or Invoice available?,0,0,1,0,0,0
8185,cash on delivery available?,0,0,0,1,0,0
4893,Where are you residing,0,0,1,0,0,0
2666,samsung,0,0,1,0,0,0
7682,How many ram of these mobile is available,0,0,1,0,0,0
5071,Hi Iam interest to take this one,0,0,1,0,0,0
7376,9819406535.... 9820912435,0,0,0,0,0,1
4456,How old is it?,0,0,1,0,0,0
7932,How old is the device?,0,0,1,0,0,0
5468,OFFER MADE : ₹ 9000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2819,You can call me in 9686011222,0,0,0,0,0,1
2213,Is it available?,0,0,1,0,0,0
4944,hi,0,0,1,0,0,0
6425,OFFER MADE : ₹ 2000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3621,Were u able to decide anything,0,0,1,0,0,0
8218,share your details,0,0,0,1,0,0
4800,Counter Offer: 1390| Please access the mobile site through your email to complete this transaction. | undefined,0,0,1,0,0,0
6800,OFFER MADE : ₹ 9000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
8282,fuck off horny bitch,1,0,0,0,0,0
4375,Offer Made: 2500| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
3683,I have a wooden Almarah if you are interested,0,0,1,0,0,0
4703,becoz I don' t have another CPU to test the monitor,0,0,1,0,0,0
5438,Kindly send me your whatsapp number,0,0,0,0,0,1
3563,Could you please respond,0,0,1,0,0,0
730,What size and colour can be available ?,0,0,1,0,0,0
1665,"1) Apple Airpods 1..Rs 5250 Brand new with 1 Year Manufacturer Apple Brand  service centre warranty 

2) Apple Airpods 2.. Rs 7750 Brand new with 1 Year Manufacturer Apple Brand Service Centre warranty 


3) Apple Airpods 2 with 9 month Manufacturer Brand Apple Brand Service Centre warranty remaining  Rs 4750


4) Apple Airpods Same as original 1 year seller warranty Rs 2750",0,0,1,0,0,0
6765,Drop your WhatsApp number,0,0,0,0,0,1
6733,5 yr old still using and in fully goodcondition,0,0,1,0,0,0
2499,Is it available?,0,0,1,0,0,0
2381,Cell phone konsa h ap ka,0,0,1,0,0,0
2246,But can it be couriered to my friend,0,0,0,1,0,0
4460,is there any alternative to send it to us,0,0,1,0,0,0
4780,Please call me for further details,0,0,0,0,0,1
942,Is it available?,0,0,1,0,0,0
4646,Offer Accepted: 6000| Please access the mobile site through your email to complete this transaction. | http%3A%2F%2Fwww.quikr.com%2FescrowBuyer%3FofferId%3D100027487987%26pass%3Df4f1caf931c91d0c41b5e25eb6255299%26channel%3DCHAT,0,0,1,0,0,0
1540,What's your final price?,0,0,1,0,0,0
886,Let me know,0,0,1,0,0,0
6211,Thanks,0,0,1,0,0,0
3409,Are you interested?,0,0,1,0,0,0
1921,OFFER MADE : ? 3000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
5652,Offer Accepted: 4000| Please access the mobile site through your email to complete this transaction. | http%3A%2F%2Fwww.quikr.com%2FescrowBuyer%3FofferId%3D100025074338%26pass%3D70904f73a8dc5bf777485a9bbb0f22fa%26channel%3DCHAT,0,0,1,0,0,0
836,OFFER MADE : ? 1000,0,0,1,0,0,0
2504,Deal done?,0,0,1,0,0,0
8245,buy directly from me ,0,0,0,1,0,0
958,Are the accessories included with the device?,0,0,1,0,0,0
2442,U don't black n white phone in 1000,0,0,1,0,0,0
7743,Mobile has already been sold out,0,0,1,0,0,0
2677,And note it's working fine,0,0,1,0,0,0
3021,It's in good condition.,0,0,1,0,0,0
5620,OFFER MADE : ₹ 35000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1747,OFFER MADE : ? 2750| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6815,OFFER MADE : ₹ 12000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3905,Any damages?,0,0,1,0,0,0
3455,Can u send me price,0,0,1,0,0,0
4411,Okay no problem,0,0,1,0,0,0
5115,What's your final price?,0,0,1,0,0,0
7438,If you buy a new one it will cost you way more,0,0,1,0,0,0
2959,Sorry 3k,0,0,1,0,0,0
1206,Ok ok can I visit and check this out?,0,0,1,0,0,0
8036,Why the fuck  sex is the fucked up,1,0,0,0,0,0
2386,OFFER MADE : ? 380| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
265,hi am interested in purchasing your product kindly drop your whatsapp number for a better conversationhi am interested in purchasing your product kindly drop your whatsapp number for a better conversation,0,0,0,0,0,1
6878,Bill or Invoice available?,0,0,1,0,0,0
7246,Yes...it's in the photo...you can call me...on 9716299431,0,0,0,0,0,1
3130,No I'll not.,0,0,1,0,0,0
7799,I told you I will reply you,0,0,1,0,0,0
7329,Can we close the same in 2400?,0,0,1,0,0,0
4428,I would like to buy the grey two seater and the two ottoman at 5k,0,0,1,0,0,0
2991,http://teja7.kuikr.com/o1/20191022/ak_132556519-1571742686_sm.jpg,0,0,1,0,0,0
1603,And it is a double bed right?,0,0,1,0,0,0
45,Ndee 9703072680,0,0,0,0,0,1
2100,Please,0,0,1,0,0,0
351,"Quikr Team 
Hi-hello  Greetings of the day how r u, hope fine ....., 
All details will be share -given thru whatsapp only..., our Whatsapp number is- ??.. 9867627551.. ??  Or  USA Sales Team  Whatsapp no?? +1(802)6715252 if u have any queries plz Whatsapp us or share ur working whatsapp no if u r using it .... or u can mail us on info@ezzatmobiles.com,..... ????plz don't mesg here ,  as chat is not possible on Quikr app????..... 

Plz Visit our website '''''??.. www.ezzatmobiles.com.. ??'''''
APPLE-SAMSUNG-OPPO-VIVO...4G Mobille Phones & All Type of Accessories 
Apple, Samsung, Bose, JBL, Sennheiser,Marshal, skullcandy, Nokia, MI etc 

****Plz Fill This Google Form for Cod Cash on Delivery service***

????????https://goo.gl/forms/RWJ0oa8iTSuCQzY82????????

Above link is of Google Form plz click the above link open in any Browser n fill ur all Details which we Require for shipping
Waiting for ur order Thank you****


Dropbox link All product Real original pic images are available ??????

https://www.dropbox.com/sh/1zr88j9h88xzcn3/AACNeZXLQGSD5sTRDBQXMf9Na?dl=0......

on Youtube complete video is available of the product type/search in youtube???? Ezzat Mobiles u can check all products Videos.......

????https://www.youtube.com/channel/UCEVA-cC5mTs_zlpQR7yAyzg??????......

u can add us on skype-ezzatmobiles....

We deals in 4G Mobile Phones APPLE-SAMSUNG-OPPO-VIVO....Bluetooth speaker ,Apple Airpods,Nokia 3310 Dual Sim,Earphone, Bluetooth Headfones, Handsfree, Bluetooth Headsets, chargers, batteries,Touch,Display etc Complete Solution at one place.......

cod cash on delivery service is available any where in india,Free shipping.....

we are the wholesaler & distributors,importer we are from Mumbai city, .....

 price are fix & Open Delivery not available with any courier company.....

""customer satisfaction is our Motto"" , we will be waiting for your order......??????...

Thank ",0,0,0,1,0,0
666,Ram & prosser,0,0,1,0,0,0
7388,8971031188,0,0,0,0,0,1
3792,here i didn't mentioned,0,0,1,0,0,0
3446,OFFER MADE : ? 7000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3630,OFFER MADE : ? 7500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
7017,What's your final price?,0,0,1,0,0,0
640,COUNTER OFFER MADE : ? 3900| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6589,Is it available?,0,0,1,0,0,0
5273,Offer Made: 800| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
5836,OFFER MADE: ₹ 40000 | Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
5925,Offer Made: 7000| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
885,Is it available?,0,0,1,0,0,0
1835,Is it available?,0,0,1,0,0,0
5125,Bahut maja aata h usko,1,0,0,0,0,0
2608,Okay,0,0,1,0,0,0
4355,http://teja7.kuikr.com/o1/20191022/ak_1170576944-1571762889_sm.jpg,0,0,1,0,0,0
2195,How old is it?,0,0,1,0,0,0
4632,we have it available&nbsp;,0,0,1,0,0,0
2182,Phone kaam karta h na,0,0,1,0,0,0
1240,Im running play school so many kids will play,0,0,1,0,0,0
4531,what percentage ?,0,0,1,0,0,0
1070,OFFER MADE : ? 11100| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
115,Can u text me or call me 9940952152,0,0,0,0,0,1
3603,If you are really interested in buying this sofa please contact on 9370802000 or 9004388200,0,0,0,0,0,1
6053,Please share some more pictures.,0,0,1,0,0,0
7235,OFFER ACCEPTED : ₹ 9000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6600,Go,0,0,1,0,0,0
4019,7395983868,0,0,0,0,0,1
523,COUNTER OFFER MADE : ? 18299| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
7339,As i return frm my office after 7,0,0,1,0,0,0
4961,How old is this item?,0,0,1,0,0,0
1113,OFFER MADE : ? 12000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
974,Bill or Invoice available?,0,0,1,0,0,0
1678,I want to purchase can I contact u un Bangalore,0,0,1,0,0,0
4449,Is it electric or manual,0,0,1,0,0,0
4689,how are you doing ?,0,0,1,0,0,0
4666,ok,0,0,1,0,0,0
7993,laid,1,0,0,0,0,0
4729,Counter Offer: 1550| Please access the mobile site through your email to complete this transaction. | undefined,0,0,1,0,0,0
6995,Remote availble,0,0,1,0,0,0
88,Sure,0,0,1,0,0,0
6545,Is it available?,0,0,1,0,0,0
7189,Cv raman nagar,0,0,1,0,0,0
8186,cash on delivery available?,0,0,0,1,0,0
4850,9879267000,0,0,0,0,0,1
667,Brand new rolamd xps 30 is available only 3 to 4 months old want to exchange with that,0,1,0,0,0,0
3896,"Product is in Goregaon East, hope you have seen that",0,0,1,0,0,0
8014,teri maaki chut,1,0,0,0,0,0
2964,Pls transfer sir,0,0,1,0,0,0
2807,Yes it's working apart from spinner,0,0,1,0,0,0
723,How old is it? Can you send more details?,0,0,1,0,0,0
128,What's your number,0,0,0,0,0,1
1384,OFFER MADE : ? 17500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3926,Call 9573391919,0,0,0,0,0,1
8196,COD available,0,0,0,1,0,0
831,What's your final price?,0,0,1,0,0,0
688,Will you arrange for the delivery of the item?,0,0,1,0,0,0
8007,fuckfriend,1,0,0,0,0,0
5527,Number send karo,0,0,0,0,0,1
7552,How much would you ask for the 35mm lens?,0,0,1,0,0,0
6911,Everything is there including wireless keyboard and mouse,0,0,1,0,0,0
1736,5499,0,0,1,0,0,0
2004,"Yes, It's available.",0,0,1,0,0,0
2375,Okay I will message you now,0,0,1,0,0,0
7519,It's urgent,0,0,1,0,0,0
2467,Ok.. Call me once class over,0,0,1,0,0,0
131,Contact number?,0,0,0,0,0,1
3748,okay,0,0,1,0,0,0
6319,Drop me your what'sapp number,0,0,0,0,0,1
5049,"that will be too less, even the old one is like gently used. you are getting the good stuff",0,0,1,0,0,0
1965,Please share some more pictures.,0,0,1,0,0,0
3191,580,0,0,1,0,0,0
7822,Offer Made: 2000| Please access the mobile site through your email to complete this transaction.,0,0,1,0,0,0
7340,Can I come tomorrow,0,0,0,1,0,0
6085,OFFER MADE : ₹ 20000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3165,OFFER MADE : ? 5800| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2718,OFFER MADE : ? 4500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2896,http://teja7.kuikr.com/o1/20191022/ak_1472034245-1571766414_sm.jpg,0,0,1,0,0,0
2209,"Yes, It's available.",0,0,1,0,0,0
4814,this chat keeps showing these options,0,0,1,0,0,0
1832,OFFER ACCEPTED : ? 15000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
454,Hi,0,0,1,0,0,0
301,If COD available I'll purchase this item,0,0,0,1,0,0
3046,Yes,0,0,1,0,0,0
6165,Please Whatsapp 8345019270,0,0,0,0,0,1
5729,How are you&nbsp;,0,0,1,0,0,0
2080,By Quikr itself,0,0,1,0,0,0
1258,Please,0,0,1,0,0,0
6461,Is it available?,0,0,1,0,0,0
7216,Bed pris sir,0,0,1,0,0,0
28,Hello friend is your product still available if yes kindly drop your whatshapp number for better conversation,0,0,0,0,0,1
1629,OFFER MADE : ? 2500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3762,Tilak road,0,0,1,0,0,0
786,Is it available?,0,0,1,0,0,0
6722,Send number,0,0,0,0,0,1
1366,Is it available?,0,0,1,0,0,0
2311,Sorry 10 thousand,0,0,1,0,0,0
6363,OFFER ACCEPTED : ₹ 35000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
7231,The name of the society.,0,0,1,0,0,0
6140,Bill or Invoice available?,0,0,1,0,0,0
1257,OFFER MADE : ? 1500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
1601,Yes 6ft x 5ft  is lxb approx,0,0,1,0,0,0
3428,Ohh okay,0,0,1,0,0,0
2888,OFFER MADE : ? 5000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
6349,Bill or Invoice available?,0,0,1,0,0,0
6201,??,0,0,1,0,0,0
4553,also come with 1 year warranty&nbsp;,0,0,1,0,0,0
4055,Did u check when is the delivery scheduled?,0,0,1,0,0,0
4265,Are you not interested in EMI based trading?,0,0,1,0,0,0
6927,COUNTER OFFER MADE : ₹ 7000,0,0,1,0,0,0
4302,50000,0,0,1,0,0,0
6278,Hi,0,0,1,0,0,0
137,8861336532,0,0,0,0,0,1
7456,COUNTER OFFER MADE : ₹ 16500| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
2257,R u interested to buy,0,0,1,0,0,0
5764,Please note,0,0,1,0,0,0
3946,Where you are located?,0,0,1,0,0,0
2085,Is it available?,0,0,1,0,0,0
2379,See money is not an issue but time,0,0,1,0,0,0
1526,Fine. No problem. Leave,0,0,1,0,0,0
222,Send me your whatsapp no,0,0,0,0,0,1
7785,The device is still available,0,0,1,0,0,0
2144,"Yes, It's available.",0,0,1,0,0,0
3975,Hi where is the location,0,0,1,0,0,0
7862,Giv ur no,0,0,0,0,0,1
3092,Is the price negotiable?,0,0,1,0,0,0
6753,ok,0,0,1,0,0,0
2174,I have college so i can reply by 4:00pm,0,0,1,0,0,0
1047,We manufacture,0,0,1,0,0,0
7373,Kurlon,0,0,1,0,0,0
6984,wait I will send you thatv,0,0,1,0,0,0
162,6000,0,0,1,0,0,0
1805,9550920520,0,0,0,0,0,1
1794,10000,0,0,1,0,0,0
1368,4500,0,0,1,0,0,0
4267,Please share some more pictures.,0,0,1,0,0,0
8002,triplex,1,0,0,0,0,0
1700,"Yes, It's available.",0,0,1,0,0,0
4381,Is it available?,0,0,1,0,0,0
7989,"wuuuut?she has big boobs,NICE BIG BOOBS",1,0,0,0,0,0
529,Is the price negotiable?,0,0,1,0,0,0
85,7060768802,0,0,0,0,0,1
5910,Bro sent me some more photos&nbsp;,0,0,1,0,0,0
6892,OFFER MADE : ₹ 6000| Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
42,Can I get Ur number so I can connect please,0,0,0,0,0,1
6742,"Approx 5yr, but in perfect working condition.",0,0,1,0,0,0
6596,No without payment i cant send,0,0,1,0,0,0
3007,"Yes, It's available.",0,0,1,0,0,0
4061,OFFER MADE: ? 1200 | Please access the mobile site through your email to respond to this offer. Download the latest version of the app now to trade with the Quikr guarantee!,0,0,1,0,0,0
3832,Is it available?,0,0,1,0,0,0
1928,hello sir,0,0,1,0,0,0
4455,How old is it?,0,0,1,0,0,0
